County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Otsego County, New York",8.1,34.6,17.3,10.2,14.7,11.5,88.3,36,077
"Greene County, New York",10.0,39.2,17.3,9.6,10.5,8.0,84.8,36,039
"Albany County, New York",6.0,26.4,16.9,10.1,19.9,17.9,91.1,36,001
"Allegany County, New York",8.6,41.4,16.6,12.4,8.7,8.7,87.9,36,003
"Cattaraugus County, New York",8.4,41.9,17.4,10.6,9.3,8.1,87.4,36,009
"Madison County, New York",8.1,35.0,17.0,12.9,14.3,10.0,89.3,36,053
"Schenectady County, New York",6.6,31.8,17.8,11.8,15.7,13.1,90.1,36,093
"Genesee County, New York",6.5,38.3,18.8,13.0,12.7,7.7,90.5,36,037
"Yates County, New York",7.9,37.0,15.0,9.2,11.7,11.7,84.6,36,123
"Greene County, North Carolina",14.6,34.0,20.5,9.8,8.3,2.9,75.5,37,079
"Mitchell County, North Carolina",12.2,38.9,17.9,8.6,9.1,4.6,79.1,37,121
"Chowan County, North Carolina",14.8,32.4,19.9,8.1,10.4,5.1,75.8,37,041
"Alleghany County, North Carolina",15.8,31.6,16.2,9.5,12.1,3.8,73.3,37,005
"Caldwell County, North Carolina",16.5,32.6,20.6,8.8,9.4,4.2,75.7,37,027
"Catawba County, North Carolina",12.0,31.3,21.3,9.1,13.9,5.8,81.4,37,035
"Cleveland County, North Carolina",13.1,34.0,19.8,10.0,10.5,5.2,79.5,37,045
"Craven County, North Carolina",8.7,28.1,28.1,10.3,14.4,6.6,87.5,37,049
"Edgecombe County, North Carolina",13.0,37.9,21.8,7.6,8.0,2.6,77.9,37,065
"Granville County, North Carolina",11.2,34.3,22.8,9.3,11.0,4.3,81.7,37,077
"Harnett County, North Carolina",10.7,29.8,24.8,10.2,11.5,5.4,81.7,37,085
"Hoke County, North Carolina",10.7,27.9,27.0,11.4,11.4,4.7,82.4,37,093
"Henderson County, North Carolina",7.8,26.4,24.0,9.3,17.4,10.2,87.2,37,089
"Hyde County, North Carolina",13.8,36.9,23.2,5.0,9.1,1.6,75.7,37,095
"Iredell County, North Carolina",10.6,29.1,23.1,9.1,16.2,6.5,84.0,37,097
"Mecklenburg County, North Carolina",6.8,19.9,20.7,7.7,27.8,12.6,88.6,37,119
"Northampton County, North Carolina",17.7,36.0,17.0,6.9,7.9,3.6,71.4,37,131
"Pitt County, North Carolina",9.4,25.9,21.9,9.2,17.4,10.7,85.0,37,147
"Rowan County, North Carolina",13.1,34.1,20.5,8.4,12.1,5.4,80.4,37,159
"Vance County, North Carolina",16.5,34.4,21.2,6.8,7.5,3.7,73.6,37,181
"Cherokee County, North Carolina",10.4,32.9,22.8,10.8,9.3,5.9,81.7,37,039
"Currituck County, North Carolina",11.1,34.1,26.8,7.4,12.8,4.2,85.3,37,053
"Union County, North Carolina",8.5,27.4,21.8,8.0,21.9,8.0,87.0,37,179
"Wilkes County, North Carolina",16.8,32.3,20.2,8.6,8.3,3.6,73.1,37,193
"Nash County, North Carolina",11.2,33.8,21.1,8.0,13.9,5.1,81.9,37,127
"Alexander County, North Carolina",13.4,38.8,18.4,8.8,8.1,3.2,77.3,37,003
"Dare County, North Carolina",5.4,27.1,25.7,7.6,22.6,9.0,92.0,37,055
"Warren County, North Carolina",15.6,31.4,21.0,7.2,10.1,4.4,74.1,37,185
"Wilson County, North Carolina",13.7,31.9,19.0,8.9,13.3,4.7,77.7,37,195
"Gates County, North Carolina",10.4,40.6,23.2,8.9,8.0,2.7,83.4,37,073
"Graham County, North Carolina",11.8,37.1,23.0,7.7,8.0,4.0,79.9,37,075
"Madison County, North Carolina",12.7,35.9,17.7,9.0,11.1,5.4,79.2,37,115
"Pamlico County, North Carolina",9.2,32.9,21.3,11.7,11.1,7.0,84.0,37,137
"San Germán Municipio, Puerto Rico",,,,,,,,72,125
"Utuado Municipio, Puerto Rico",,,,,,,,72,141
"Arroyo Municipio, Puerto Rico",,,,,,,,72,015
"Cataño Municipio, Puerto Rico",,,,,,,,72,033
"Quebradillas Municipio, Puerto Rico",,,,,,,,72,115
"Guayama Municipio, Puerto Rico",,,,,,,,72,057
"Culebra Municipio, Puerto Rico",,,,,,,,72,049
"Gurabo Municipio, Puerto Rico",,,,,,,,72,063
"Barceloneta Municipio, Puerto Rico",,,,,,,,72,017
"Loíza Municipio, Puerto Rico",,,,,,,,72,087
"Guaynabo Municipio, Puerto Rico",,,,,,,,72,061
"Aguadilla Municipio, Puerto Rico",,,,,,,,72,005
"Fajardo Municipio, Puerto Rico",,,,,,,,72,053
"Las Marías Municipio, Puerto Rico",,,,,,,,72,083
"Rincón Municipio, Puerto Rico",,,,,,,,72,117
"Villalba Municipio, Puerto Rico",,,,,,,,72,149
"Aguas Buenas Municipio, Puerto Rico",,,,,,,,72,007
"Bayamón Municipio, Puerto Rico",,,,,,,,72,021
"Carolina Municipio, Puerto Rico",,,,,,,,72,031
"Cayey Municipio, Puerto Rico",,,,,,,,72,035
"Hatillo Municipio, Puerto Rico",,,,,,,,72,065
"Humacao Municipio, Puerto Rico",,,,,,,,72,069
"Juana Díaz Municipio, Puerto Rico",,,,,,,,72,075
"Morovis Municipio, Puerto Rico",,,,,,,,72,101
"Mayagüez Municipio, Puerto Rico",,,,,,,,72,097
"Santa Isabel Municipio, Puerto Rico",,,,,,,,72,133
"Trujillo Alto Municipio, Puerto Rico",,,,,,,,72,139
"Corozal Municipio, Puerto Rico",,,,,,,,72,047
